attribute name,attribute type,description,requires attunement,weapon bonus,ac bonus,spell bonus,Cantrips,Spell levels once a day,Spell levels 3 times a day,Spell levels infinte times a day,Damage d6,Damage type
Unbreakable,attribute,The magic item cannot be harmed or damaged through non-magical means. ,FALSE,0,0,0,0,0,0,0,0,0
Drawing blows,attribute,You can use your reaction to redirect a successful attack made to an adjacent target to you instead,FALSE,0,0,0,0,0,0,0,0,0
Arcane script,attribute,"Symbols, writing, or a small area of the magic item softly glows, producing dim light for a one foot radius",FALSE,0,0,0,0,0,0,0,0,0
Arcane sensation,attribute,"When you first touch the magic item, you feel a predetermined sensation chosen by it's crafter",FALSE,0,0,0,0,0,0,0,0,0
Gleaming,attribute,"The magic item is always clean. dirt, grime, or any sullying material sheds off of the object",FALSE,0,0,0,0,0,0,0,0,0
Moon touched,attribute,The magic item sheds dim light in a ten foot radius when in darkness,FALSE,0,0,0,0,0,0,0,0,0
Cantrip immunity,attribute,"The character attuned to this item is granted immunity from all effects and damage for a predetermined spell of level one or lower, while wearing or touching the item",TRUE,0,0,0,0,0,0,0,0,0
Cantrip casting,attribute,The magic item's weilder can use the object to cast a predetermined cantrip,FALSE,0,0,0,1,0,0,0,0,0
Easily lost,attribute,The magic item and any of it's contents are invisible when worn,FALSE,0,0,0,0,0,0,0,0,0
Lost but not forgotten,attribute,The magic item and any of it's contents are invisible when worn. The character attuned to the item can sense it's direction and exact distance from themselves,TRUE,0,0,0,0,0,0,0,0,0
Spell level once a day,attribute,"Adds one spell level to the ""once a day"" spell level pool",FALSE,0,0,0,0,1,0,0,0,0
Arcane focus,attribute,The magic item is an arcane focus for a predetermined class,FALSE,0,0,0,0,0,0,0,0,0
Universal focus,attribute,The magic item is an arcane focus for the character attuned to it,TRUE,0,0,0,0,0,0,0,0,0
Caster's choice,attribute,"Any spells the magic item is capable of being used to cast also become known spells to the character attuned to this item, so long as they are a spell caster and so long as they are attuned to it.",TRUE,0,0,0,0,0,0,0,0,0
Glimmering,attribute,The magic items appears to be a really valuable object,FALSE,0,0,0,0,0,0,0,0,0
Shoddy,attribute,The magic item appears to be a mundane or worthless object,FALSE,0,0,0,0,0,0,0,0,0
On off switch,attribute,The character attuned to this item can use a bonus action to activate or deactivate persistant properties of the magic item,TRUE,0,0,0,0,0,0,0,0,0
A little luck,attribute,"The character attuned to this item is granted advantage to a predetermined skill or ability check when opposing a predetermined race or creature type, while wearing or touching the item",TRUE,0,0,0,0,0,0,0,0,0
Two spell levels once a day,minor,"Adds two spell level to the ""once a day"" spell level pool",FALSE,0,0,0,0,2,0,0,0,0
One spell level thrice a day,minor,"Adds one spell level to the ""three times a day"" spell level pool",FALSE,0,0,0,0,0,1,0,0,0
Cantrips ahoy,minor,The magic item's weilder can use the object to cast one of three predetermined cantrips,FALSE,0,0,0,0,0,0,0,0,0
Plus one attack,minor,This magic item grants the weilder +1 to their attacks and damage rolls when using this item as the weapon,FALSE,1,0,0,0,0,0,0,0,0
Plus one armor,minor,This magic item grants the weilder +1 to their AC when worn,FALSE,0,1,0,0,0,0,0,0,0
Plus one spell casting,minor,This magic item grants the weilder +1 to the spell attach and damage rolls when using this item as an arcane focus,FALSE,0,0,1,0,0,0,0,0,0
Flight,minor,The magic item can fly with a fly speed of 30',FALSE,0,0,0,0,0,0,0,0,0
Healing boost,minor,The magic item adds 1d6 healing to healing spells cast when the character attuned to the item uses the item as an arcane focus,TRUE,0,0,0,0,0,0,0,0,0
Adamantine weave,minor,Critical hits against the wearer of this item count as normal hits,FALSE,0,0,0,0,0,0,0,0,0
Auto stabilization,minor,The wearer is stabilized if their health drops to or below zero,FALSE,0,0,0,0,0,0,0,0,0
Productive crafting,minor,"When the character attuned to this item uses a workweek of downtime to craft, an additional workweek's of production may be added",TRUE,0,0,0,0,0,0,0,0,0
Bigger on the inside,minor,The magic item now contains a 64 cubic foot extra dimensional space,FALSE,0,0,0,0,0,0,0,0,0
Lucky item,minor,The character attuned to this item gains advantage on a predetermined skill or ability check,TRUE,0,0,0,0,0,0,0,0,0
Disease immunity,minor,the character attuned to this item gains immunity to disease while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Blind immunity,minor,the character attuned to this item gains immunity to the blinded condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Charm immunity,minor,the character attuned to this item gains immunity to the charmed condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Deafened immunity,minor,the character attuned to this item gains immunity to the deafened condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Frightened immunity,minor,the character attuned to this item gains immunity to the firghtened condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Paralyzed immunity,minor,the character attuned to this item gains immunity to the paralyzed condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Petrified immunity,minor,the character attuned to this item gains immunity to the petrified condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Poisoned immunity,minor,the character attuned to this item gains immunity to the poisoned condition while touching it or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Weakening attacks,minor,"When damaged by this magic item, the victim cannot regain health until the start of this item's weilder's next turn",FALSE,0,0,0,0,0,0,0,0,0
Dark vision,minor,This item grants an additional 60' of darkvision when used,FALSE,0,0,0,0,0,0,0,0,0
Telescopic vision,minor,This item allows the user to use a bonus action to see a chosen target up to 60' away as if they are right in front of it.,FALSE,0,0,0,0,0,0,0,0,0
Greater smell,minor,This item grants advantage on perception checks that rely on a sense of smell,FALSE,0,0,0,0,0,0,0,0,0
Greater hearing,minor,This item grants advantage on perception checks that rely on a sense of hearing,FALSE,0,0,0,0,0,0,0,0,0
Slashing resistance,minor,The character attuned to this item gains resistance to Slashing damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Piercing resistance,minor,The character attuned to this item gains resistance to Piercing damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Bludgeoning resistance,minor,The character attuned to this item gains resistance to Bludgeoning damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
